userId,movieId,rating,timestamp
169,2223,1,1805266380
473,2182,3,1497101832
1520,4434,4,1151513679
648,714,5,1374923873
360,3189,2,1696983522
1838,4985,5,1894648622
1228,3895,2,1949641439
1834,3749,3,1104698229
1634,661,2,1881655607
1945,4069,3,1322044818
276,4440,3,1834094804
551,1893,4,1903730977
783,2978,2,1015246987
790,356,4,1283132976
926,993,4,1661932901
1027,2277,5,1441314501
576,4425,4,1615790834
42,4173,2,1826939535
1258,4150,2,1196913513
143,2489,5,1643753894
997,1223,1,1375801797
690,909,5,1273892509
985,152,3,1309820758
1703,1123,2,1339135932
1837,4074,4,1652335168
323,4677,2,1864181187
1483,3242,5,1262267068
1389,299,3,1782282029
434,1102,5,1976624029
1033,3745,2,1446094288
1361,68,1,1326055984
834,2313,1,1935821090
1173,1505,2,1493453235
1024,167,3,1045693151
1039,2991,1,1399296875
671,4200,2,1682139495
1711,2857,5,1746796382
1501,3715,1,1617088310
1414,2527,2,1723401199
1476,67,4,1859263069
1404,1569,2,1813777054
578,3870,3,1104373786
150,2655,4,1251906169
1081,231,5,1495762910
1707,2094,4,1183197325
518,1887,4,1333404574
495,4414,1,1151697211
46,2779,3,1661425737
475,4298,2,1844315695
1464,2661,5,1349548854
1046,3893,5,1245641582
89,3135,4,1552047866
743,2511,5,1200844536
1512,1185,2,1986526199
1039,2526,2,1427698827
113,1451,1,1657029703
990,2640,3,1363368892
263,1929,1,1047155393
1793,4830,1,1599524449
1541,198,4,1613784202
1551,1041,4,1622289233
1338,2824,1,1829488448
1155,937,3,1695009884
468,4657,3,1044811157
1302,2095,5,1467926568
276,3158,1,1309744462
1008,1687,4,1096221737
515,3789,3,1710012982
1001,2584,2,1480922696
152,4077,2,1840267803
965,3135,3,1862554726
1250,1448,1,1300311699
1266,3611,2,1084157805
398,3788,2,1990327024
565,1135,3,1250175629
1424,1422,1,1923636121
1345,1662,5,1479693853
1613,4885,5,1012317608
1383,2869,1,1085904846
1997,925,1,1872950865
294,1591,3,1331561434
65,3894,4,1898023165
1264,1735,2,1301317693
530,2457,2,1032467336
943,336,3,1625670714
466,4376,3,1001697460
138,4044,5,1123497828
1741,4485,1,1915104742
724,671,4,1173799349
150,2294,4,1166808242
1408,824,5,1526989805
364,3341,3,1490578086
316,3965,4,1899889286
660,516,4,1875543376
1760,2030,4,1956417685
344,4345,1,1247494756
1652,4889,4,1435993486
376,2850,2,1474562761
698,1958,4,1769540001
359,4630,4,1118224815
1776,235,3,1511201798
1500,4608,3,1957214581
1073,4697,3,1035291678
1454,4230,1,1497316935
1920,3677,1,1789607328
1517,3350,5,1922000564
1366,1619,4,1128026887
1852,1120,4,1595290262
1570,3712,1,1951044628
1531,1035,5,1774601637
358,3617,3,1214426880
1688,1907,1,1283169110
1255,3443,3,1665875566
306,1940,2,1659074662
639,4809,4,1673068339
716,746,3,1127022990
1219,3276,5,1278819174
1734,1506,3,1327869248
1745,3703,1,1788284472
1962,2157,2,1348187726
830,4996,3,1184824861
1479,610,5,1595512273
832,2047,3,1523031240
300,2749,4,1223433949
1114,3148,5,1001512306
1138,104,3,1484163538
1668,1432,1,1286703201
504,2987,1,1954927613
1902,2735,2,1630523486
369,4602,3,1216968878
927,1212,2,1416254828
216,307,4,1910182146
1396,1993,2,1898841079
1641,4274,5,1849632906
441,1138,1,1963324317
1960,4396,1,1491877699
647,884,4,1965622809
476,2927,5,1480091930
595,3884,3,1640888482
270,1192,3,1151929346
1594,3892,4,1057909212
869,1330,4,1114561871
500,866,1,1647401972
1826,1657,4,1232599102
514,4319,1,1193689006
982,777,1,1843501149
1379,2935,2,1715874431
27,1736,3,1475945688
924,374,5,1863789820
1274,4545,3,1464676733
981,416,5,1530068735
667,2972,1,1107837264
1333,1040,5,1050598213
1478,2022,5,1283254965
1352,4959,4,1008030982
1655,418,1,1967145294
40,3816,2,1868350192
611,3188,2,1804813750
1995,3645,5,1913125376
1740,1141,4,1789253960
1891,3786,1,1023616815
