asin,title,category,price,rating,review_count
B000001,Product 1,Electronics,241.04084089548977,3.7033528297330403,280
B000002,Product 2,Clothing,465.15353752130636,4.519111670805449,578
B000003,Product 3,Clothing,469.1642285627298,3.8895232826921218,451
B000004,Product 4,Clothing,259.9827667123228,4.337721934685616,11
B000005,Product 5,Sports,286.5682365470083,3.890949945272117,644
B000006,Product 6,Books,342.685061833939,3.0447000442854137,746
B000007,Product 7,Electronics,293.25529643940524,4.530783226111228,690
B000008,Product 8,Sports,325.12860939387446,4.390107982529978,315
B000009,Product 9,Clothing,109.07898015376637,3.7858407545968467,80
B000010,Product 10,Clothing,360.97006237481963,3.775582999299686,229
B000011,Product 11,Books,5.616486137825729,4.234607839728737,808
B000012,Product 12,Electronics,246.96963887990887,4.005601912940919,592
B000013,Product 13,Electronics,34.6624010525388,4.651835808739289,922
B000014,Product 14,Sports,265.2735951942368,3.27241252746155,777
B000015,Product 15,Home & Garden,152.92687747044636,3.356093372432099,499
B000016,Product 16,Books,178.49152338563334,3.807860842276177,997
B000017,Product 17,Electronics,326.98087933614903,4.075940868069376,700
B000018,Product 18,Clothing,487.98911807832457,4.144802909786811,27
B000019,Product 19,Clothing,175.4023150613792,3.916399847312176,451
B000020,Product 20,Clothing,421.5344631137107,3.5056254986333215,600
B000021,Product 21,Electronics,468.2886560102323,4.305307102292803,446
B000022,Product 22,Electronics,441.1390497247309,4.521982914237892,958
B000023,Product 23,Clothing,391.05878378544185,4.722962045096677,112
B000024,Product 24,Clothing,110.74243871479902,3.5838603513001224,885
B000025,Product 25,Home & Garden,309.9138542996879,4.256652216128047,115
B000026,Product 26,Electronics,279.19448789043787,4.327147028413174,322
B000027,Product 27,Home & Garden,34.71594455684576,3.563629791180572,8
B000028,Product 28,Clothing,86.88478095987291,3.740262717898969,855
B000029,Product 29,Sports,410.74195873939965,3.688770181135415,561
B000030,Product 30,Clothing,205.6051692200644,4.774454648032666,337
B000031,Product 31,Electronics,163.91646811910243,4.953206429650169,750
B000032,Product 32,Home & Garden,342.94697792858886,3.188070168076422,891
B000033,Product 33,Home & Garden,157.62348015250714,3.817980896654449,59
B000034,Product 34,Books,361.68705581507163,3.5942047772240002,874
B000035,Product 35,Books,330.9329765799394,3.8969375095581955,77
B000036,Product 36,Books,170.14373531382873,4.234095995651625,923
B000037,Product 37,Sports,433.21541001333446,4.263195005247095,460
B000038,Product 38,Books,18.77515322834786,3.912859478694176,432
B000039,Product 39,Clothing,352.4404669401316,4.643454797977442,665
B000040,Product 40,Clothing,258.02427669684164,4.650853066469288,952
B000041,Product 41,Books,237.6217809650691,4.279154964670047,972
B000042,Product 42,Home & Garden,351.31499408756224,3.0200787589883875,147
B000043,Product 43,Electronics,407.8184633476176,4.228837330401252,745
B000044,Product 44,Clothing,326.0690333966163,3.2685174749804577,995
B000045,Product 45,Books,383.2705235391872,3.5103352234097276,600
B000046,Product 46,Electronics,174.12403704272504,4.120779412831787,957
B000047,Product 47,Books,416.96752824702315,4.620326996209939,301
B000048,Product 48,Electronics,272.3758140444343,4.173683322556048,406
B000049,Product 49,Books,408.4143236496508,3.0578332713264684,551
B000050,Product 50,Books,78.91055160338405,3.8586946362368995,809
B000051,Product 51,Books,69.61163100574407,3.4046306218448845,517
B000052,Product 52,Books,483.34817529173637,3.038368059300926,326
B000053,Product 53,Electronics,63.1342093113271,3.1226658774319245,25
B000054,Product 54,Sports,337.50638419697094,4.7974965443144715,992
B000055,Product 55,Books,172.49528275799204,3.18550199131396,271
B000056,Product 56,Home & Garden,107.85944536697573,4.089331272503829,129
B000057,Product 57,Electronics,114.84933032685863,4.757198704612785,377
B000058,Product 58,Sports,39.79250325724667,4.621934400021901,393
B000059,Product 59,Sports,151.61068927052298,3.7468554829663367,298
B000060,Product 60,Sports,378.7639614232603,3.95637181088974,606
B000061,Product 61,Home & Garden,437.81267123674246,4.970206537905284,629
B000062,Product 62,Electronics,196.90299978870837,4.611165743722651,795
B000063,Product 63,Sports,429.01938914257283,3.831336531713936,422
B000064,Product 64,Sports,452.77922345898,4.342080362150449,108
B000065,Product 65,Sports,352.70300467202776,3.8790449363706614,692
B000066,Product 66,Books,236.16057660510037,4.221601150198682,990
B000067,Product 67,Home & Garden,449.51906694997024,3.842366517629941,24
B000068,Product 68,Electronics,174.8336367837284,4.067271664168558,363
B000069,Product 69,Sports,404.5332176621493,3.8680526068654064,354
B000070,Product 70,Electronics,222.69058792839763,4.437733244961559,460
B000071,Product 71,Clothing,123.39355497043523,3.3689705616839074,680
B000072,Product 72,Home & Garden,429.70967429365595,4.486173352034602,277
B000073,Product 73,Electronics,330.7957301198617,4.0115362526313385,882
B000074,Product 74,Sports,271.97615705124394,3.84576366928656,938
B000075,Product 75,Home & Garden,479.2819941063384,4.791988305993694,615
B000076,Product 76,Sports,395.1110553953113,4.015807003728921,488
B000077,Product 77,Electronics,302.18181435569824,4.083052144308286,404
B000078,Product 78,Books,58.237678837229566,4.791284111220012,597
B000079,Product 79,Books,351.80142578327764,3.5001899444474365,951
B000080,Product 80,Clothing,308.6740932125248,4.626800754761317,871
B000081,Product 81,Books,222.9995776349195,3.721111771789295,959
B000082,Product 82,Home & Garden,13.794595604644702,4.6182870000974985,298
B000083,Product 83,Clothing,316.5547821736534,4.70269196879171,787
B000084,Product 84,Clothing,293.4936899997412,4.3591390788609905,687
B000085,Product 85,Home & Garden,337.10252574515846,3.0650989953433774,420
B000086,Product 86,Sports,218.64431960181625,4.898274191773148,152
B000087,Product 87,Electronics,193.07414589355645,4.112557527540129,81
B000088,Product 88,Clothing,150.30990522116016,4.2022341921159585,458
B000089,Product 89,Electronics,117.30266215233002,3.3254831557951605,141
B000090,Product 90,Clothing,53.87153515453543,4.510930552056839,565
B000091,Product 91,Electronics,458.77714689383606,3.2190172375224924,741
B000092,Product 92,Clothing,110.10690523999655,3.236876831243126,68
B000093,Product 93,Sports,146.34056011444468,4.044657316227809,89
B000094,Product 94,Home & Garden,232.9058625216386,4.405388013014962,707
B000095,Product 95,Clothing,490.00593183629877,4.044649063375161,805
B000096,Product 96,Books,69.19133505452155,3.686646057872414,467
B000097,Product 97,Clothing,69.2940728626516,4.928123745952885,219
B000098,Product 98,Books,302.72553286380327,3.586863463619463,743
B000099,Product 99,Books,20.42001295930952,4.926476453115587,103
B000100,Product 100,Books,472.6191362425962,4.755301707417832,493
B000101,Product 101,Electronics,137.15725056536476,4.979393918802245,257
B000102,Product 102,Clothing,114.64319944759094,4.701219636303211,663
B000103,Product 103,Electronics,45.07128268167932,4.636511582900335,840
B000104,Product 104,Sports,429.0773557842499,4.313376889359698,725
B000105,Product 105,Home & Garden,178.85669011296994,3.834388628996035,440
B000106,Product 106,Home & Garden,175.9250198539178,3.3340104151680166,11
B000107,Product 107,Sports,100.54952748938626,4.233056908992989,148
B000108,Product 108,Clothing,79.94881066144106,4.125767713752786,493
B000109,Product 109,Clothing,402.9634525933288,3.0237373110619887,584
B000110,Product 110,Sports,433.0320809223168,4.473744929087459,396
B000111,Product 111,Sports,143.1927956988596,4.373897880924225,357
B000112,Product 112,Sports,486.1828107320833,4.975483247258158,585
B000113,Product 113,Books,391.1200072790019,3.5881896612162407,337
B000114,Product 114,Books,275.6924169345701,3.3433559636569594,821
B000115,Product 115,Home & Garden,23.873189814877595,4.649407434870191,558
B000116,Product 116,Sports,32.623205071013544,4.108006093139014,519
B000117,Product 117,Sports,490.75371670520565,4.309305212870927,292
B000118,Product 118,Home & Garden,385.5246007826051,4.1681715749426305,478
B000119,Product 119,Books,111.87520100121722,3.2904167719417017,937
B000120,Product 120,Books,448.7704852407745,3.9426679559602036,464
B000121,Product 121,Clothing,421.4053319638715,3.5116930731265876,687
B000122,Product 122,Home & Garden,378.5785718146579,4.961688884835415,567
B000123,Product 123,Clothing,458.62238798650895,4.256488274755553,691
B000124,Product 124,Home & Garden,245.93962931053576,3.4788027125862113,336
B000125,Product 125,Books,498.98129936013765,4.454472400532904,815
B000126,Product 126,Home & Garden,125.30928643789844,4.4444227872996445,110
B000127,Product 127,Home & Garden,354.80160768827534,4.36277061269287,333
B000128,Product 128,Sports,121.28846436232261,3.993020576968881,56
B000129,Product 129,Books,107.14533072513687,3.4027706070719788,896
B000130,Product 130,Clothing,232.9969854172894,4.363858188363708,33
B000131,Product 131,Sports,126.98951940201883,4.529201887226961,380
B000132,Product 132,Books,140.0093641898025,3.3357416537451057,226
B000133,Product 133,Home & Garden,361.8494651376805,4.056771100753029,126
B000134,Product 134,Clothing,470.83342505036325,4.954022723902741,505
B000135,Product 135,Electronics,470.3402099830726,4.223507218894884,600
B000136,Product 136,Home & Garden,7.748617323912366,4.427236897242722,884
B000137,Product 137,Clothing,45.1282749228057,3.9727199017981434,668
B000138,Product 138,Electronics,143.78144266176366,3.2554999576203985,86
B000139,Product 139,Clothing,340.9888222349702,4.930396836423473,680
B000140,Product 140,Home & Garden,371.0458197193591,3.479134660344706,862
B000141,Product 141,Home & Garden,204.70112432413288,3.424445770312836,717
B000142,Product 142,Home & Garden,146.93146069223272,4.676231373484946,493
B000143,Product 143,Books,80.16556164226245,4.708054327851288,160
B000144,Product 144,Electronics,458.5190976366378,4.657489875183488,978
B000145,Product 145,Home & Garden,488.12572886665697,4.346149486459581,773
B000146,Product 146,Clothing,181.26011866472214,4.5587977678438145,410
B000147,Product 147,Home & Garden,96.32649708657588,4.2277376385524,182
B000148,Product 148,Home & Garden,397.2596081048842,3.4779766003823056,94
B000149,Product 149,Electronics,406.08075773186846,4.791578028924667,882
B000150,Product 150,Clothing,133.73203711819116,3.5033737473468594,905
B000151,Product 151,Clothing,229.48865743279748,4.502983864892447,21
B000152,Product 152,Electronics,159.12769425265972,4.584385048770608,124
B000153,Product 153,Books,418.3189503359956,3.9108521360381774,346
B000154,Product 154,Home & Garden,459.4409094378604,4.118427889919525,260
B000155,Product 155,Home & Garden,473.0070753967663,3.232608367321086,941
B000156,Product 156,Clothing,479.32457390954175,4.922740742889909,385
B000157,Product 157,Sports,57.082839723637036,4.676814921507995,640
B000158,Product 158,Clothing,420.2666879292553,4.3269595569564885,947
